text1,label,image,text2,text3,text4,item-count,item-key
"Drown the Clown, choose another player. Do a count down and shout ""clown"". Last player to has to drink",Clown,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,,1,type-a22cc71d-57d6-4894-b8f0-6d6559abcfd0
,Twat,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,You're a twat. You forgot a birthday present. Down your drink,,,1,type-28fe42e0-e018-44f1-b71d-d473f14a4628
,Bday giving,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Bday person gives 10 shots,,1,type-0dfe74ec-af8c-4d14-9571-d8e94258cc5f
,Bday taking,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Bday person takes 10 shots,,1,type-8e01c454-354d-42e7-9c1b-015c611ea267
,Guys,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,All guys drink 10 shots,,1,type-6f1734c7-3985-401c-8b13-b4c780fb28d3
,Girls,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,All girls drink 10 shots,,1,type-5f6f6cf4-1854-49d2-9383-2e1b685ca8ec
,Eveyone but you,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Everyone but you drinks 5 shots,,1,type-68d575f9-02ce-4da9-ac37-dfdb883109b4
,You lose,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,You drink 20 shots,1,type-56669794-e1a8-44e3-b25e-f68ea621fb5c
,Host,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Host has to take 10 shots,,1,type-70ac9211-e7f1-4dbb-a8e4-b685f5d6456e
,Take 5,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Take 5,2,type-502eea3e-e394-4d02-bf84-e0b514614bfc
