label,image,row_2,row_3,row_4,row_1,item-count,item-key
3 Shot,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Give 3 shots,,,2,type-5d26334c-8a68-4e82-a30b-4182c284bc6f
3 Shots,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Take 3 shots,,,2,type-2cdb06c6-f82a-4a64-831d-ea7dfc8b0c34
4 Shots,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Give 4 shots,,,3,type-6f0a9248-879c-4a94-9928-792c97873415
4 Shots,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Take 4 shots,,,3,type-f9e5f372-6d22-43be-813e-acf4494b0946
5 Shots,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Give 5 shots,,,0,type-4905e012-60b9-4013-b78d-13490fcdf2bf
5 Shots,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Take 5 Shots,,,0,type-d0b4374f-3372-4b7a-a570-ecf24e3a41eb
Question (kill),https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,Who is most likely to kill a person? They take 5.,,,,0,type-5f1979ba-ad38-4ca9-a834-650569a6133a
All girls drink,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,All girls drink,,10 shots,,0,type-1c4672d1-25e3-461c-ba8e-3584087caa78
All guys drink,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,All guys drink,,10 shots,,0,type-af1fca14-c37f-450a-96d8-c4d9e90b1036
"Fuck, Marry, Kill",https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Fuck, Marry, Kill, they all take 5.",,,,1,type-a39ca245-52b6-432b-b230-da565a19440f
Paint drawing,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,Draw a dick on paint or take 25 shots.,,,,1,type-5e6ce62b-7bf5-4d90-95a9-f2036d38d3a3
