row_1,label,image,row_2,row_3,item-count,item-key
"Congrats, Spliff has 360 grand slammed ya nan. Roll the wheel for how many steps that bitch dun got yeeted .",Bitch dun got yeeted,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,1,type-060ed986-3c65-4e6e-9b8d-45852c7c4a05
,Adolf Spliffler,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Oh no, adolf Spliffler has gassed your house, finish your drink.",,1,type-c43adee4-f0fd-40af-aadc-a9b65e1f74e0
,Location known,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"Spliff found where you live, take a dirty pint.",1,type-6c8346b1-2aa7-4f45-acb0-f5d21231e0d3
,KFC = Bad,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Spliff heard ya talkin shit about KFC, take 20 shots.",,1,type-f215f2fc-70a6-45ee-9f7e-1da75850173d
,Woman,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"You got caught being a fucking woman, spin the wheel twice.",,1,type-cf341a76-1414-40d6-a4de-fc7f016c0ea1
,Feminist puncher,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Wow you punched a feminist, give 20 shots",,1,type-69919da3-ccd1-4055-b434-d7a93b0776ac
,Get nanned,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"It's weird, Spliff nanned your dog take 10 shots",1,type-78275b48-0428-499f-bca0-14271ed04deb
"You challenged Spliff to 1-V-1 For Honor and smashed your monitor, take a dirty pint.",For Honor,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,1,type-aa559fd1-4ed1-4fbe-8af6-48ba9d1c5d4b
,Defenestrated ,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"Spliff defenestrated your first born, give 20 shots.",,1,type-ab838d3e-35d4-465d-8f46-089ac77d23ea
"Spliff's niece told to spell out retard but she ended up spelling (your name), take 20 shots.",Spelling,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,1,type-44d4bd62-747e-4c80-a95d-d36c53ffc01f
,Headset,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"Congrats, spliff just broke a headset shouting at ya woman ass, give 20.",,1,type-699a24be-3312-45f2-b620-ab7319391184
,Pillaged your village,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Spliff has pillaged your village, roll the wheel twice to save the village ",,1,type-b94bf1f8-3b4e-445e-a999-e7bea78973a2
,Vegetarian,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"You just slapped a vegetarian with a raw steak, congrats give 10 ",,1,type-ac0b03bc-ebfe-4849-9826-6c779e5e9467
,Devils domain,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"You have entered the devils domain, roll twice for goodluck. ",,1,type-7cf5ee08-1c2b-4186-b548-dd47f488f037
,Chug,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"You got caught playing drinko on easy, 10 spliff seconds now you must Chug",,1,type-0e85dd0d-ee3c-42ec-9b2a-b8c19cc52899
,Finish your drink,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,"Spliff backhanded your nan, now finish your drink. ",1,type-36fd1a5c-7027-4d62-a74e-156fcbc655e6
,Angered Mimz,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"You angered Mimz, Spliff makes you roll the wheel.",,1,type-a041a901-cea1-456c-894a-c36e0c2b4315
,Crispy MAD,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Crispy got pissed off at yet another game, take 15.",,1,type-04d026d9-1903-4a07-abdc-254f0afae3ed
,KFC or McD,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,If you got KFC or McDonalds today then give 20 or take if you didn't.,,1,type-2ebce640-48d8-468e-aaa9-fe2dd3621b84
,Ya wife,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"High five, ya wife has died give 2 rolls.",1,type-58043fde-566c-4ac2-ae9d-b108bbf451bd
,Andrasta licked,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Andrasta just licked you, so finish your drink to forget it.",,1,type-9ebb627a-f28b-43a7-ab26-262566b55c5e
